URL,title
https://www.cnn.com/2021/10/29/politics/obama-biden-climate-conference/index.html,Obama returns to the world stage to boost Biden and reassure leaders after four years of Trump
https://www.cnn.com/2021/10/28/politics/biden-doj-leadership-nominees-senate-confirms/index.html,Senate confirmation votes build out Biden's Justice Department leadership team
https://www.cnn.com/2021/10/29/politics/read-intel-report-on-covid-origins/index.html,READ: US intelligence community's declassified report on the origins of Covid-19
https://www.cnn.com/2021/10/29/politics/family-separation/index.html,Families forcibly separated at the border by the Trump administration seeking settlements in ongoing negotiations
https://www.cnn.com/2021/10/29/politics/usps-virginia-democrats-lawsuit/index.html,USPS agrees to provide daily election mail reports to Virginia Democrats after lawsuit claiming delays
https://www.cnn.com/2021/10/28/politics/biden-agenda-deal-democrats/index.html,House Democrats again delay infrastructure vote amid party divisions
https://www.cnn.com/2021/10/29/politics/adam-kinzinger-retirement-trump-impeachment/index.html,Another one of the 'Trump 10' heads for the exits
https://www.cnn.com/2021/10/29/politics/jill-biden-italy/index.html,Jill Biden surrounded by her family's deep roots in Italy as she returns to the Eternal City
https://www.cnn.com/2021/10/29/politics/mario-draghi-sergio-mattarella-biden-meeting/index.html,Italian leaders host Biden on first day of European summit trip
https://www.cnn.com/2021/10/29/politics/second-amendment-kavanaugh-barrett/index.html,The two newest Supreme Court justices could redraw the road map for the Second Amendment in courts
https://www.cnn.com/2021/10/29/politics/week-in-review-biden-congress-rome-g20/index.html,The week in 13 headlines
https://www.cnn.com/2021/10/28/politics/andrew-cuomo-charges/index.html,Complaint alleging a sex crime has been filed against former NY Gov. Andrew Cuomo
https://www.cnn.com/politics/live-news/infrastructure-spending-bill-biden-10-28-21/index.html,Democrats race to reach budget deal
https://www.cnn.com/2021/10/29/politics/white-house-physician-pope-visit/index.html,White House doctor gets the chance to meet Pope Francis during Biden visit
https://www.cnn.com/2021/10/29/politics/biden-border-remain-in-mexico/index.html,Biden administration tries again to end Trump-era 'Remain in Mexico' migrant policy
https://www.cnn.com/2021/10/29/politics/us-intelligence-full-covid-19-report/index.html,US Intelligence community releases full declassified report that does not determine origin of Covid-19
https://www.cnn.com/2021/10/29/politics/maine-vaccine-mandate-supreme-court/index.html,Supreme Court declines to block Maine health care employee vaccine mandate
https://www.cnn.com/2021/10/29/politics/letitia-james-new-york-governor-campaign/index.html,New York Attorney General Letitia James announces run for governor
https://www.cnn.com/2021/10/28/politics/supply-chain-foodbanks-schools-hungry/index.html,'We are struggling every day': Supply chain crunch threatens to leave some of the neediest Americans without enough to eat
https://www.cnn.com/2021/10/29/politics/pope-francis-joe-biden-meeting/index.html,'God love ya': Warm relationship between the world's most powerful Catholics on display as Biden and Pope Francis meet
https://www.cnn.com/2021/10/28/politics/a-linwood-holton-jr-former-virginia-governor-dies/index.html,Former Virginia Gov. A. Linwood Holton Jr. dies at 98
https://www.cnn.com/2021/10/29/politics/approval-rating-biden-polls/index.html,What the polls agree on about Biden's approval rating
https://www.cnn.com/2021/10/29/politics/good-catholic-joe-biden-pope-francis/index.html,Biden says Pope told him he's a good Catholic and should continue receiving communion
https://www.cnn.com/2021/10/28/politics/china-taiwan-cnn-interview-reaction/index.html,China reiterates firm opposition to US-Taiwan military contact in response to CNN interview
https://www.cnn.com/2021/10/28/politics/desantis-florida-vaccine-mandate-lawsuit-biden-administration/index.html,DeSantis announces new lawsuit against Biden administration over vaccine mandate requirement for federal contractors
https://www.cnn.com/2021/10/28/politics/fossil-fuel-oversight-hearing-climate/index.html,House committee intends to subpoena fossil fuel companies for documents about climate disinformation
https://www.cnn.com/2021/10/29/politics/challenge-coin-joe-biden-pope-francis/index.html,"Biden gives Pope a sentimental challenge coin: 'The next time I see you, if you don't have it you have to buy the drinks'"
https://www.cnn.com/2021/10/29/politics/fox-news-poll-virginia-analysis/index.html,"Fox News poll aside, Virginia's gubernatorial race is too close to call"
https://www.cnn.com/2021/10/28/politics/education-department-cease-and-desist-florida-schools-masks/index.html,Education Department files cease and desist complaint against Florida over mask-related school funding
https://www.cnn.com/2021/10/29/politics/iran-drone-sanctions/index.html,US sanctions commander of Iranian drone program that attacked shipping vessel
https://www.cnn.com/2021/10/29/politics/macron-biden-meeting-rome/index.html,Biden tells French President the US was 'clumsy' in handling nuclear submarine deal
https://www.cnn.com/2021/10/29/politics/adam-kinzinger-not-running-reelection-illinois-republican/index.html,"Adam Kinzinger, outspoken GOP Trump critic, won't seek reelection for US House seat"
https://www.cnn.com/2021/10/29/politics/congress-spending-bill-president-joe-biden-italy-g20-democrats/index.html,Democrats fight one another in Washington as Americans struggle
https://www.cnn.com/2021/10/29/politics/iran-us-talks-skepticism/index.html,US is deeply skeptical and considering taking tougher action as Iran says it will return to nuclear talks
https://www.cnn.com/2021/10/29/politics/supreme-court-climate-crisis-epa/index.html,Supreme Court to review EPA's ability to regulate greenhouse gases and address climate crisis
https://www.cnn.com/2021/10/28/politics/misinformation-vaccine-election-what-matters/index.html,Misinformation is the invasive species of 2021
https://www.cnn.com/2021/10/28/politics/biden-europe-trip/index.html,Biden heads to Europe with his economic agenda -- and his presidency -- in the balance back home
https://www.cnn.com/2021/10/28/politics/russell-moore-trump-axe-files/index.html,Prominent theologian and Trump critic Russell Moore warns that ex-president could win again
https://www.cnn.com/2021/10/28/politics/biden-lack-of-ambassadors/index.html,Biden hampered by lack of confirmed ambassadors ahead of key foreign trip
https://www.cnn.com/2021/10/27/politics/medicaid-compromise-obamacare/index.html,Senate Democrats working on a Medicaid compromise to cover those in coverage gap through Obamacare plans
https://www.cnn.com/2021/10/28/politics/mitt-romney-ted-lasso-kyrsten-sinema/index.html,"Mitt Romney dresses up as Ted Lasso, has 'biscuits with the boss' with Kyrsten Sinema"
https://www.cnn.com/2013/07/08/us/howard-dean-fast-facts/index.html,Howard Dean Fast Facts
https://www.cnn.com/2021/10/27/politics/billionaire-tax-what-matters/index.html,Elon Musk used government money to build Tesla. But he fears a tax on billionaires
https://www.cnn.com/2021/10/28/politics/senate-control-2022-sununu/index.html,The battle for the Senate could turn on this one decision
https://www.cnn.com/2021/10/27/politics/texas-abortion-supreme-court/index.html,Supreme Court is flooded with briefs as arguments on Texas abortion law approach
https://www.cnn.com/2021/10/28/politics/dc-federal-judge-january-6-cases/index.html,"Top DC federal judge criticizes ""schizophrenic"" Justice Department approach to January 6 cases"
https://www.cnn.com/politics/live-news/big-oil-climate-change-hearing-10-28-21/index.html,Oil executives testify about climate disinformation
https://www.cnn.com/2021/10/28/politics/the-kaepernick-effect-race-deconstructed-newsletter/index.html,How 'The Kaepernick Effect' has propelled a new generation of athletes to take a stand against racial injustice
https://www.cnn.com/2021/10/28/politics/donald-trump-wall-street-journal-letter/index.html,Why the Wall Street Journal *never* should have published Donald Trump's letter on the 2020 election
https://www.cnn.com/2021/10/28/politics/hyten-stunning-china-military-progress/index.html,Senior US general warns China's military progress is 'stunning' as US is hampered by 'brutal' bureaucracy
https://www.cnn.com/2021/10/28/politics/read-draft-of-bidens-economic-agenda/index.html,READ: The latest draft of Biden's economic agenda bill
https://www.cnn.com/2021/10/28/politics/special-adviser-on-international-disability-rights/index.html,Biden names Sara Minkara as US special adviser on international disability rights
https://www.cnn.com/2021/10/28/politics/joe-biden-progressives-paid-family-leave/index.html,Progressives reeling after moderates inflict savage new blow to spending bill
https://www.cnn.com/2021/10/28/politics/january-6-committee-eyes-contempt-proceedings-mark-meadows/index.html,January 6 committee is losing patience with Trump's former chief of staff Mark Meadows as it seeks his testimony
https://www.cnn.com/2021/10/28/politics/joe-manchin-patty-murray-family-leave/index.html,This Democratic senator is irate at Joe Manchin
https://www.cnn.com/2021/10/28/politics/billionaire-wealth-tax/index.html,Billionaires' wealth has soared 70% in the pandemic. That's one reason why Democrats wanted to tax them.
https://www.cnn.com/2021/10/28/politics/winsome-sears-hala-ayala-virginia-lieutenant-governor/index.html,"At a time of historic change, Virginia will elect a woman of color for the first time as lieutenant governor"
https://www.cnn.com/2021/10/28/politics/jeffrey-clark-dan-scavino-postponements-january-6-committee/index.html,Key Trump allies granted postponements by January 6 committee
https://www.cnn.com/2021/10/28/politics/congressional-womens-softball-game-2021/index.html,Congressional Women's Softball Game returns after Covid delay
https://www.cnn.com/2021/10/28/politics/russian-extradited-south-korea-ohio/index.html,Russian accused of being part of cybercrime ring extradited from South Korea to Ohio
https://www.cnn.com/2021/10/27/politics/christopher-worrell-dc-jail-conditions/index.html,DOJ pushes back against claims of mistreatment at DC jail where dozens of Capitol rioters are being held
https://www.cnn.com/2021/10/28/politics/read-build-back-better-plan/index.html,READ: White House details Build Back Better spending framework
